STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Year,YearMonth,TextMonth,PRCP,TMAX,TMIN
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/13/1972,1972,4,April,0.25,56,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/14/1972,1972,4,April,0,65,40
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/15/1972,1972,4,April,0,74,46
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/16/1972,1972,4,April,0,77,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/17/1972,1972,4,April,0,74,41
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/18/1972,1972,4,April,0,69,46
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/19/1972,1972,4,April,0,69,44
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/20/1972,1972,4,April,0,70,44
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/21/1972,1972,4,April,0,75,46
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/22/1972,1972,4,April,0,76,47
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/23/1972,1972,4,April,0,80,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/24/1972,1972,4,April,0.25,77,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/25/1972,1972,4,April,0,67,43
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/26/1972,1972,4,April,0,77,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/27/1972,1972,4,April,0,85,58
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/28/1972,1972,4,April,0,86,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/29/1972,1972,4,April,0,73,44
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,4/30/1972,1972,4,April,0,71,43
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/1/1972,1972,5,May,0,83,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/2/1972,1972,5,May,0,87,62
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/3/1972,1972,5,May,0,91,63
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/4/1972,1972,5,May,0,91,54
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/5/1972,1972,5,May,0,79,49
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/6/1972,1972,5,May,0,70,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/7/1972,1972,5,May,0,67,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/8/1972,1972,5,May,0,66,43
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/9/1972,1972,5,May,0,71,46
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/10/1972,1972,5,May,0,81,50
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/11/1972,1972,5,May,0,86,55
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,5/12/1972,1972,5,May,0,92,57
