STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Year,YearMonth,TextMonth,PRCP,TMAX,TMIN
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/2/1972,1972,4,April,0,61,38
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/3/1972,1972,4,April,0,60,35
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/4/1972,1972,4,April,0.2,62,45
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/5/1972,1972,4,April,1.1,49,43
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/6/1972,1972,4,April,0.02,51,39
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/7/1972,1972,4,April,0,52,36
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/8/1972,1972,4,April,0,50,33
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/9/1972,1972,4,April,0,52,30
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/10/1972,1972,4,April,0.06,48,32
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/11/1972,1972,4,April,0.36,44,32
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/12/1972,1972,4,April,0.17,41,29
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/13/1972,1972,4,April,0,45,28
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/14/1972,1972,4,April,0,59,32
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/15/1972,1972,4,April,0,66,37
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/16/1972,1972,4,April,0,48,31
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/17/1972,1972,4,April,0,42,27
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/18/1972,1972,4,April,0,48,24
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/19/1972,1972,4,April,0,57,28
USC00045983,"MOUNT SHASTA, CA US",41.32191,-122.31777,1101.2,4/20/1972,1972,4,April,0,67,31
